"name","mass_1","mass_1_upper","mass_1_lower","mass_2","mass_2_upper","mass_2_lower","network_snr","distance","distance_upper","distance_lower","chi_eff","chi_eff_upper","chi_eff_lower","total_mass","chirp_mass","chirp_mass_upper","chirp_mass_lower","redshift","redshift_upper","redshift_lower","final_mass","fecha","mes"
"GW191219_163120",31.1,2.2,-2.8,1.17,0.07,-0.06,9.1,550,250,-160,0,0.07,-0.09,32.3,4.32,0.12,-0.17,0.11,0.05,-0.03,32.2,2019-12-19 16:31:38,12
"GW191216_213338",12.1,4.6,-2.3,7.7,1.6,-1.9,18.6,340,120,-130,0.11,0.13,-0.06,19.81,8.33,0.22,-0.19,0.07,0.02,-0.03,18.87,2019-12-16 21:33:56,12
"GW191215_223052",24.9,7.1,-4.1,18.1,3.8,-4.1,11.2,1930,890,-860,-0.04,0.17,-0.21,43.3,18.4,2.2,-1.7,0.35,0.13,-0.14,41.4,2019-12-15 22:31:10,12
"GW191204_171526",11.9,3.3,-1.8,8.2,1.4,-1.6,17.5,650,190,-250,0.16,0.08,-0.05,20.21,8.55,0.38,-0.27,0.13,0.04,-0.05,19.21,2019-12-04 17:15:44,12
"GW191204_110529",27.3,11,-6,19.3,5.6,-6,8.8,1800,1700,-1100,0.05,0.26,-0.27,47.2,19.8,3.6,-3.3,0.34,0.25,-0.18,45,2019-12-04 11:05:47,12
"GW191129_134029",10.7,4.1,-2.1,6.7,1.5,-1.7,13.1,790,260,-330,0.06,0.16,-0.08,17.5,7.31,0.43,-0.28,0.16,0.05,-0.06,16.8,2019-11-29 13:40:47,11
"GW191127_050227",53,47,-20,24,17,-14,9.2,3400,3100,-1900,0.18,0.34,-0.36,80,29.9,11.7,-9.1,0.57,0.4,-0.29,76,2019-11-27 05:02:45,11
"GW191126_115259",12.1,5.5,-2.2,8.3,1.9,-2.4,8.3,1620,740,-740,0.21,0.15,-0.11,20.7,8.65,0.95,-0.71,0.3,0.12,-0.13,19.6,2019-11-26 11:53:17,11
"GW191113_071753",29,12,-14,5.9,4.4,-1.3,7.9,1370,1150,-620,0,0.37,-0.29,34.5,10.7,1.1,-1,0.26,0.18,-0.11,34,2019-11-13 07:18:11,11
"GW191109_010717",65,11,-11,47,15,-13,17.3,1290,1130,-650,-0.29,0.42,-0.31,112,47.5,9.6,-7.5,0.25,0.18,-0.12,107,2019-11-09 01:07:35,11
"GW191105_143521",10.7,3.7,-1.6,7.7,1.4,-1.9,9.7,1150,430,-480,-0.02,0.13,-0.09,18.5,7.82,0.61,-0.45,0.23,0.07,-0.09,17.6,2019-11-05 14:35:39,11
"GW191103_012549",11.8,6.2,-2.2,7.9,1.7,-2.4,8.9,990,500,-470,0.21,0.16,-0.1,20,8.34,0.66,-0.57,0.2,0.09,-0.09,19,2019-11-03 01:26:07,11
"GW190930_133541",14.2,8,-4,6.9,2.4,-2.1,9.7,770,320,-320,0.19,0.22,-0.16,21.2,8.5,0.5,-0.4,0.16,0.06,-0.06,20.2,2019-09-30 13:35:59,9
"GW190929_012149",66.3,21.6,-16.6,26.8,14.7,-10.6,9.7,3130,2510,-1370,-0.03,0.23,-0.28,93.3,35.6,10.2,-7.4,0.53,0.33,-0.2,90.3,2019-09-29 01:22:07,9
