name,version,release,gps,mass_1,mass_1_upper,mass_1_lower,mass_2,mass_2_upper,mass_2_lower,network_snr,network_snr_upper,network_snr_lower,distance,distance_upper,distance_lower,chi_eff,chi_eff_upper,chi_eff_lower,total_mass,total_mass_upper,total_mass_lower,chirp_mass,chirp_mass_upper,chirp_mass_lower,detector_frame_chirp_mass,detector_frame_chirp_mass_upper,detector_frame_chirp_mass_lower,redshift,redshift_upper,redshift_lower,false_alarm_rate,p_astro,final_mass,final_mass_upper,final_mass_lower
GW190521_074359,v2,GWTC-2.1-confident,1242459857.4,43.4,+5.8,-5.5,33.4,+5.2,-6.8,25.9,+0.1,-0.2,1080,+580,-530,0.10,+0.13,-0.13,76.3,+7.0,-5.9,32.8,+3.2,-2.8,,,,0.21,+0.10,-0.10,≤ 1.0e-05,1.00,72.6,+6.5,-5.4
GW190521,v4,GWTC-2.1-confident,1242442967.4,98.4,+33.6,-21.7,57.2,+27.1,-30.1,14.3,+0.5,-0.4,3310,+2790,-1800,-0.14,+0.50,-0.45,153.1,+42.2,-16.2,63.3,+19.6,-14.6,,,,0.56,+0.36,-0.27,0.0013,1.00,147.4,+40.0,-16.0
GW190519_153544,v2,GWTC-2.1-confident,1242315362.3,65.1,+10.8,-11.0,40.8,+11.5,-12.7,15.9,+0.2,-0.3,2600,+1720,-960,0.33,+0.20,-0.24,105.6,+14.4,-13.9,44.3,+6.8,-7.5,,,,0.45,+0.24,-0.15,≤ 1.0e-05,1.00,100.0,+13.0,-12.9
GW190517_055101,v2,GWTC-2.1-confident,1242107479.8,39.2,+13.9,-9.2,24.0,+7.4,-7.9,10.8,+0.5,-0.6,1790,+1750,-880,0.49,+0.21,-0.28,64.1,+9.9,-9.8,26.5,+4.0,-4.2,,,,0.33,+0.26,-0.15,0.00035,1.00,60.1,+9.9,-9.4
GW190514_065416,v2,GWTC-2.1-confident,1241852074.8,40.9,+17.3,-9.3,28.4,+10.0,-10.1,8.0,+0.3,-0.6,3890,+2610,-2070,-0.08,+0.29,-0.35,69.3,+19.8,-12.1,29.1,+8.1,-5.4,,,,0.64,+0.33,-0.30,2.8,0.76,66.4,+19.0,-11.5
GW190513_205428,v2,GWTC-2.1-confident,1241816086.7,36.0,+10.6,-9.7,18.3,+7.4,-4.7,12.5,+0.3,-0.4,2210,+990,-810,0.16,+0.29,-0.22,54.4,+9.3,-6.7,21.8,+3.8,-2.2,,,,0.40,+0.14,-0.13,1.3e-05,1.00,52.1,+8.8,-6.6
GW190512_180714,v2,GWTC-2.1-confident,1241719652.4,23.2,+5.6,-5.6,12.5,+3.5,-2.6,12.7,+0.3,-0.4,1460,+510,-590,0.02,+0.13,-0.14,35.8,+4.1,-3.5,14.6,+1.4,-0.9,,,,0.28,+0.08,-0.10,≤ 1.0e-05,1.00,34.3,+4.1,-3.4
GW190503_185404,v2,GWTC-2.1-confident,1240944862.2,41.3,+10.3,-7.7,28.3,+7.5,-9.2,12.2,+0.2,-0.4,1520,+630,-600,-0.05,+0.23,-0.30,69.4,+10.1,-8.6,29.3,+4.5,-4.4,,,,0.29,+0.10,-0.10,≤ 1.0e-05,1.00,66.5,+9.4,-7.9
GW190426_190642,v1,GWTC-2.1-confident,1240340820.6,105.5,+45.3,-24.1,76.0,+26.2,-36.5,8.7,+0.4,-0.6,4580,+3400,-2280,0.23,+0.42,-0.41,182.3,+40.2,-35.7,76.0,+19.1,-17.4,,,,0.73,+0.41,-0.32,4.1,0.75,172.9,+37.7,-33.6
GW190426_152155,v2,GWTC-2.1-marginal,1240327333.3,,,,,,,10.1,,,,,,,,,,,,,,,,,,,,,0.91,,,,
GW190425,v3,GWTC-2.1-confident,1240215503.0,2.1,+0.5,-0.4,1.3,+0.3,-0.2,12.4,+0.4,-0.4,150,+80,-60,0.07,+0.07,-0.05,3.4,+0.3,-0.1,1.44,+0.02,-0.02,,,,0.03,+0.02,-0.01,0.034,0.78,,,
GW190424_180648,v1,GWTC-2,1240164426.1,40.5,+11.1,-7.3,31.8,+7.6,-7.7,10.09,,,2200,+1580,-1160,0.13,+0.22,-0.22,72.6,+13.3,-10.7,31.0,+5.8,-4.6,43.4,+6.0,-4.8,0.39,+0.23,-0.19,0.78,0.91,68.9,+12.4,-10.1
GW190421_213856,v2,GWTC-2.1-confident,1239917954.2,42.0,+10.1,-7.4,32.0,+8.3,-9.8,10.7,+0.2,-0.4,2590,+1490,-1240,-0.10,+0.21,-0.27,73.6,+13.2,-9.5,31.4,+6.0,-4.6,,,,0.45,+0.21,-0.19,0.0028,1.00,70.5,+12.4,-9.0
GW190413_134308,v2,GWTC-2.1-confident,1239198206.7,51.3,+16.6,-12.6,30.4,+11.7,-12.7,10.6,+0.4,-0.5,3800,+2480,-1830,-0.01,+0.28,-0.38,81.3,+16.8,-11.8,33.3,+7.8,-6.3,,,,0.62,+0.32,-0.26,0.18,0.99,78.0,+16.1,-11.5
GW190413_052954,v2,GWTC-2.1-confident,1239168612.5,33.7,+10.4,-6.4,24.2,+6.5,-7.0,9.0,+0.4,-0.8,3320,+1910,-1400,-0.04,+0.27,-0.32,58.0,+10.6,-7.8,24.5,+4.6,-3.4,,,,0.56,+0.25,-0.21,0.82,0.93,55.5,+10.1,-7.3
GW190412,v4,GWTC-2.1-confident,1239082262.1,27.7,+6.0,-6.0,9.0,+2.0,-1.4,19.8,+0.2,-0.3,720,+240,-220,0.21,+0.12,-0.13,36.8,+4.7,-4.4,13.3,+0.5,-0.5,,,,0.15,+0.04,-0.04,≤ 1.0e-05,1.00,35.6,+4.8,-4.5
GW190408_181802,v2,GWTC-2.1-confident,1238782700.2,24.8,+5.4,-3.5,18.5,+3.3,-4.0,14.6,+0.2,-0.3,1540,+440,-620,-0.03,+0.13,-0.17,43.4,+4.2,-3.0,18.5,+1.9,-1.2,,,,0.29,+0.07,-0.11,≤ 1.0e-05,1.00,41.4,+3.9,-2.9
GW190403_051519,v1,GWTC-2.1-confident,1238303737.2,85.0,+27.8,-33.0,20.0,+26.3,-8.4,7.6,+0.6,-1.1,8280,+6720,-4290,0.68,+0.16,-0.43,106.6,+26.7,-23.6,34.0,+15.1,-8.4,,,,1.18,+0.73,-0.53,7.7,0.61,102.2,+26.3,-24.3
GW170823,v1,GWTC-1-confident,1187529256.5,39.5,+11.2,-6.7,29.0,+6.7,-7.8,12.2,+0.2,-0.3,1940,+970,-900,0.09,+0.22,-0.26,,,,29.2,+4.6,-3.6,,,,0.35,+0.15,-0.15,≤ 1.0e-07,1.00,65.4,+10.1,-7.4
GW170818,v1,GWTC-1-confident,1187058327.1,35.4,+7.5,-4.7,26.7,+4.3,-5.2,12.0,+0.3,-0.4,1060,+420,-380,-0.09,+0.18,-0.21,,,,26.5,+2.1,-1.7,,,,0.21,+0.07,-0.07,4.2e-05,1.00,59.4,+4.9,-3.8
GW170817,v3,GWTC-1-confident,1187008882.4,1.46,+0.12,-0.10,1.27,+0.09,-0.09,33.0,,,40,+7,-15,0.00,+0.02,-0.01,,,,1.186,+0.001,-0.001,,,,0.01,+0.00,0.00,≤ 1.0e-07,1.00,≤,,
GW170814,v3,GWTC-1-confident,1186741861.5,30.6,+5.6,-3.0,25.2,+2.8,-4.0,17.7,+0.2,-0.3,600,+150,-220,0.07,+0.12,-0.12,,,,24.1,+1.4,-1.1,,,,0.12,+0.03,-0.04,≤ 1.0e-07,1.00,53.2,+3.2,-2.4
GW170809,v1,GWTC-1-confident,1186302519.8,35.0,+8.3,-5.9,23.8,+5.1,-5.2,12.8,+0.2,-0.3,1030,+320,-390,0.08,+0.17,-0.17,,,,24.9,+2.1,-1.7,,,,0.20,+0.05,-0.07,≤ 1.0e-07,1.00,56.3,+5.2,-3.8
GW170729,v1,GWTC-1-confident,1185389807.3,50.2,+16.2,-10.2,34.0,+9.1,-10.1,10.8,,,2840,+1400,-1360,0.37,+0.21,-0.25,,,,35.4,+6.5,-4.8,,,,0.49,+0.19,-0.21,0.02,0.98,79.5,+14.7,-10.2
170720,v1,GWTC-1-marginal,1184625889.8,,,,,,,13.0,,,,,,,,,,,,,,,5.96,,,,,,10.75,,,,
